,island_name,city,unit_supply,unit_demand,unit_occupancy,unit_avg_daily_rate,month,year
78,Island of Hawai'i,Hilo/Honoka?a,"36,842","21,226",57.60%,$94.94,August,2019
79,Kaua'i ,,"132,396","95,040",71.80%,$261.15,August,2019
80,State of Hawai'i,,"913,285","622,329",68.10%,$193.68,September,2019
81,O'ahu ,,"241,811","175,705",72.70%,$159.73,September,2019
82,O'ahu ,Waik'k' ,"122,474","96,277",78.60%,$139.56,September,2019
83,Maui County,,"312,810","226,059",72.30%,$227.74,September,2019
84,Maui County,Wailea/K'hei,"148,992","110,755",74.30%,$219.34,September,2019
85,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"127,058","90,022",70.90%,$252.21,September,2019
86,Island of Hawai'i,,"219,294","127,821",58.30%,$145.90,September,2019
87,Island of Hawai'i,Kona,"102,068","63,738",62.40%,$121.78,September,2019
88,Island of Hawai'i,Hilo/Honoka?a,"49,347","26,628",54.00%,$102.24,September,2019
89,Kaua'i ,,"139,370","92,744",66.50%,$240.86,September,2019
90,State of Hawai'i,,"949,704","689,669",72.60%,$191.76,October,2019
91,O'ahu ,,"257,264","186,284",72.40%,$159.73,October,2019
92,O'ahu ,Waik'k' ,"130,787","101,025",77.20%,$134.72,October,2019
93,Maui County,,"323,332","255,485",79.00%,$224.24,October,2019
94,Maui County,Wailea/K'hei,"153,072","124,187",81.10%,$214.11,October,2019
95,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"131,778","102,523",77.80%,$250.99,October,2019
96,Island of Hawai'i,,"225,100","143,702",63.80%,$147.81,October,2019
97,Island of Hawai'i,Kona,"105,143","72,278",68.70%,$131.47,October,2019
98,Island of Hawai'i,Hilo/Honoka?a,"49,966","29,154",58.30%,$93.29,October,2019
99,Kaua'i ,,"144,008","104,198",72.40%,$229.97,October,2019
100,State of Hawai'i,,"919,132","630,502",68.60%,$180.52,November,2019
101,O'ahu ,,"252,415","170,326",67.50%,$146.00,November,2019
102,O'ahu ,Waik'k' ,"126,534","91,125",72.00%,$115.70,November,2019
103,Maui County,,"304,163","230,845",75.90%,$219.87,November,2019
104,Maui County,Wailea/K'hei,"139,203","111,554",80.10%,$216.54,November,2019
105,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"128,779","93,558",72.70%,$238.72,November,2019
106,Island of Hawai'i,,"223,930","134,896",60.20%,$135.30,November,2019
107,Island of Hawai'i,Kona,"106,215","69,796",65.70%,$108.56,November,2019
108,Island of Hawai'i,Hilo/Honoka?a,"48,783","24,878",51.00%,$81.24,November,2019
109,Kaua'i ,,"138,624","94,435",68.10%,$211.16,November,2019
110,State of Hawai'i,,"856,798","645,575",75.30%,$234.20,December,2019
111,O'ahu ,,"237,306","179,700",75.70%,$191.40,December,2019
112,O'ahu ,Waik'k' ,"120,086","94,536",78.70%,$165.60,December,2019
113,Maui County,,"293,100","231,419",79.00%,$278.36,December,2019
114,Maui County,Wailea/K'hei,"134,565","111,356",82.80%,$265.49,December,2019
115,Maui County,Lahaina/K'anapali/ N'pili/Kapalua,"123,342","93,086",75.50%,$314.29,December,2019
116,Island of Hawai'i,,"204,394","146,841",71.80%,$181.46,December,2019
117,Island of Hawai'i,Kona,"96,057","73,055",76.10%,$150.46,December,2019
118,Island of Hawai'i,Hilo/Honoka?a,"45,053","29,739",66.00%,$107.79,December,2019
119,Kaua'i ,,"121,998","87,615",71.80%,$293.75,December,2019
